"","1"
"_AgriGenesis_Biosciences_Ltd_PO_Box_50_Auckland_New_Zealand_",1
"_AN_Bach_Institute_of_Biochemistry_Leninsky_prospekt_33_build_2_Moscow_119071_Russia_",1
"_Applied_Microbiology_GNU_GNU_Jinju_Gyeongnamdo_660-701_Korea_",1
"_Aquatic_Animal_Health_Research_Unit_USDA_ARS_990_Wire_Road_Auburn_AL_36832_USA_",1
"_Basic_Sciences_Mississippi_State_University_College_of_Veterinary_Medicine_Mississippi_State_MS_39762_USA_",1
"_Beijing_Institute_of_Biotechnology_Dongdajie_20_Fengtai_District_Beijing_Beijing_100071_China_",1
"_Bertalan_M_Universidade_Federal_do_Rio_de_Janeiro_Instituto_de_Bioquimica_Medica_Nucleo_de_Sequenciamento_Johanna_Dobereiner_CCS_Bloco_D_subssolo_Rio_de_Janeiro_RJ_21491590_BRAZIL_",1
"_Biochemistry_and_Molecular_Biology_The_Pennsylvania_State_University_S-235_Frear_Building_University_Park_PA_16802_USA_",1
"_Biodiversity_Research_Center_Academia_Sinica_128_Academia_Road_Sect_2_Taipei_11529_Taiwan_",1
"_BioInformatics_Center_Nanjing_Agricultural_University_1_Weigang_Nanjing_Jiangsu_210095_China_",1
"_Bioinformatics_Center_Nanjing_Agricultural_University_Weigang_1_Nanjing_Jiangsu_210095_China_",1
"_BioInformatics_Center_Nanjing_Agriculture_University_No1_Weigang_Road_Xuanwu_District_Nanjing_Jiangsu_210095_China_",1
"_Bioinformatics_Leibniz_Institute_DSMZ_Inhoffenstr_7B_Braunschweig_38124_Germany_",1
"_Bioinformatics_Mendelics_Analise_Genomica_Rua_Cubatao_86_cj_1602_Sao_Paulo_SP_04013-000_Brazil_",1
"_Biologie_Universite_de_Sherbrooke_2500_boulevard_Universite_Sherbrooke_Quebec_J1K2R1_Canada_",1
"_Biology_Science_Institute_University_of_Malaya_Jalan_University_Kuala_Lumpur_Kuala_Lumpur_50603_Malaysia_",1
"_Biology_University_of_Utah_257_S_1400_E_Rm_201_Salt_Lake_City_UT_84112_USA_",1
"_Biomolecular_Chemistry_Hans-Knoell-Institute_Beutenbergstrasse_11a_07745_Jena_GERMANY_",1
"_Bioquimica_e_Biologia_Molecular_Universidade_Federal_do_Parana_(UFPR)_Centro_Politecnico_Curitiba_Parana_81531-980_Brazil_",1
"_BioScience_Los_Alamos_National_Laboratory_PO_Box_1663_M888_Los_Alamos_NM_87545_USA_",1
"_Bioscience_Los_Alamos_National_Laboratory_PO_Box_1663_MS_M888_Los_Alamos_NM_87545_USA_",2
"_Biosurveillance_MRIGlobal_1470_Treeland_Blvd_Palm_Bay_FL_32909_USA_",1
"_Biotechnology_Center_University_of_Wisconsin_425_Henry_Mall_Madison_WI_53706_USA_",1
"_BioTechnology_Institute_University_of_Minnesota_-_Twin_Cities_140_Gortner_Laboratory_1479_Gortner_Avenue_Saint_Paul_MN_55108_USA_",1
"_Botany_Visva-Bharati_(A_Central_University)_Santiniketan_West_Bengal-731235_INDIA_",1
"_Broad_Institute_of_MIT_and_Harvard_7_Cambridge_Center_Cambridge_MA_02142_USA_",3
"_Cancer_Institute_The_Second_Affiliated_Hospital_Zhejiang_University_88_Jiefang_Road_Hangzhou_Zhejiang_310009_China_",1
"_Cas_Key_Laboratory_of_Genome_Sciences_and_Information_Beijing_Institute_of_Genomics_Chinese_Academy_of_Sciences_Eitucheng_West_Road_Chaoyang_District_Beijing_Beijing_100029_China_",1
"_CAS_Key_Laboratory_of_Pathogenic_Microbiology_and_Immunology_Institute_of_Microbiology_Chinese_Academy_of_Sciences_No1_Beichen_West_Road_Chaoyang_District_Beijing_100101_China_",1
"_CeBiTec_Bielefeld_University_Universitaetsstr_27_Bielefeld_NRW_33615_Germany_",3
"_Center_for_Integrated_BioSystems_Utah_State_University_4700_Old_Main_Hill_Logan_UT_84322_USA_",1
"_Centre_for_Genetics_and_Genomics_University_of_Nottingham_Queens_Medical_Centre_Medical_School_Nottingham_NG7_2UH_United_Kingdom_",1
"_Centre_for_Molecular_and_Biomolecular_Informatics_Radboud_University_Medical_Centre_PO_Box_9010_Nijmegen_6500_GL_THE_NETHERLANDS_",1
"_Chemical_and_Biomolecular_Engineering_Pusan_National_University_Jangjeon-dong_Geumjeong-gu_Busan_Busan_609735_South_Korea_",1
"_Chemical_Engineering_and_Applied_Chemistry_University_of_Toronto_200_College_Street_Toronto_Ontario_M5S_3E5_Canada_",2
"_Chinese_Academy_of_Sciences_Beijing_Institute_of_Genomics_No7_Beitucheng_West_Road_Chaoyang_District_Beijing_Beijing_100029_China_",2
"_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_",1
"_Clinical_Sciences_St_George's_University_of_London_Cranmer_Terrace_SW17_0RE_UNITED_KINGDOM_",1
"_College_of_Environmental_Science_Nankai_University_No94_Wei-jin_Road_Tianjin_Tianjin_300071_P_R_China_",1
"_College_of_Life_Science_Nanjing_Normal_University_No_1_Wenyuan_Road_Nanjing_Jiangsu_210046_China_",1
"_College_of_Life_Science_Northeast_Agricultural_University_No59_Mucai_Street_Xiangfang_District_Harbin_Heilongjiang_150030_China_",1
"_College_of_Life_Sciences_Nanjing_Agricultural_University_No6_Tongwei_Road_Nanjing_Jiangsu_210095_China_",1
"_College_of_Life_Sciences_Nanjing_Agriculture_University_Weigang_Street_#1_Nanjing_Jiangsu_210000_China_",1
"_College_of_Life_Sciences_Zhejiang_University_Hangzhou_China_",1
"_College_of_Marine_Science_Shandong_University_at_Weihai_180_Wenhua_Xilu_Weihai_Shandong_264209_China_",1
"_College_of_Veterinary_Medicine_Nanjing_Agricultureal_University_Room_4031_4th_Floor_Shaw_Building_1_Weigang_Nanjing_Jiangsu_210095_China_",1
"_Computational_and_Synthetic_Biology_Laboratory_Korea_University_Anam_Campus_Anam-dong_5-ga_Seongbuk-gu_Seoul_136-713_The_Republic_of_Korea_",1
"_Computational_and_Synthetic_Biology_Laboratory_Korea_University_Anam_Campus_Anam-Dong_5-Ga_Seongbuk-Gu_Seoul_136-713_The_Republic_of_Korea_",1
"_Contact:Director-General_Department_of_Biotechnology_National_Institure_of_Technology_and_Evaluation_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_URL____:http://wwwbionitegojp/_",1
"_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_(NITE)_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_",1
"_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Biological_Resource_Center;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_",3
"_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_",10
"_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_URL____:http://wwwbionitegojp/_",2
"_Contact:Hideaki_Kobayashi_Nihon_University_School_of_Pharmacy;_7-7-1_Narashinodai_Funabashi_Chiba_274-8555_Japan_",2
"_Contact:Hideto_Takami_Japan_Marine_Science_and_Technology_Center_Deep-sea_Microorgaisms_Research_Group;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0061_Japan_U_:http://wwwjamstecgojp/jamstec-e/bio/DEEPSTAR/_FResearchhtml_",1
"_Contact:Hidetoshi_Morita_Azabu_University_School_of_Veterinary_Medicine;_1-17-71_Fuchinobe_Sagamihara_Kanagawa_252-5201_Japan_U_:http://wwwazabu-uacjp/_",1
"_Contact:Hirofumi_Yoshikawa_Tokyo_University_of_Agriculture_Department_of_Bioscience;_1-1-1_Sakuragaoka_Setagaya-ku_Tokyo_156-8502_Japan_U_:http://nodaicc-townnet/laboratory/singlephp?id=23_",1
"_Contact:Hiroshi_Oyaizu_University_of_Tokyo_Biotechnology_Research_Center;_Yayoi_1-1-1_Bunkyo-ku_Tokyo_113-8657_Japan_",1
"_Contact:Hiroyuki_Arai_The_University_of_Tokyo_Department_of_Biotechnology;_Yayoi_1-1-1_Bunkyo-ku_Tokyo_113-8657_Japan_",1
"_Contact:Hiroyuki_Ohta_Ibaraki_University_College_of_Agriculture_Department_of_Bioresource_Science;_21-1_3-Chome_Chuou_Ami-machi_Ibaraki_300-0393_Japan_",1
"_Contact:Hisaya_Kojima_The_Institute_of_Low_Temperature_Science_Hokkaido_University;_Kita-19_Nishi-8_Kita-ku_Sapporo_060-0819_Japan_",1
"_Contact:Hisaya_Kojima_The_Institute_of_Low_Temperature_Science_Hokkaido_University;_Kitaku_Kita_18_Nishi_8_Sapporo_060-0819_Japan_",2
"_Contact:Kazuya_Watanabe_Marine_Biotechnology_Institute_Co_Ltd;_3-75-1_Heita_Kamaishi_Iwate_026-0001_Japan_",1
"_Contact:Masahira_Hattori_Graduate_School_of_Frontier_Sciences_University_of_Tokyo;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8561_Japan_",2
"_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8561_Japan_U_:http://wwwcbku-tokyoacjp/hattorilab/_",1
"_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_U_:http://wwwcbku-tokyoacjp/hattorilab/_",3
"_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_URL_:http://wwwcbku-tokyoacjp/hattorilab/_",2
"_Contact:Masayuki_Inui_Research_Institute_of_Innovative_Technology_for_the_Earth_(RITE)_Microbiology_research_group;_9-2_Kizugawadai_Kizu-cho_Soraku-gun_Kyoto_619-0292_Japan_",1
"_Contact:Mio_Takeuchi_National_Institute_of_Advanced_Industrial_Science_and_Technology_Institute_for_Geo-resources_and_Environments;_Higashi_1-1-1_Tsukuba_Ibaraki_305-8567_Japan_",1
"_Contact:Naruo_Nikoh_The_Open_University_of_Japan;_2-11_Wakaba_Mihama_Chiba_Chiba_261-8586_Japan_",1
"_Contact:Nobuyoshi_Nagao_Toyohashi_University_of_Technology;_1-1_Hibarigaoka_Toyohashi_441-8580_Japan_",1
"_Contact:Satoshi_Ishii_Hokkaido_University_Division_of_Environmental_Engineering;_Kita_13_Nishi_8_Kita-ku_Sapporo_Hokkaido_060-8628_Japan_",1
"_Contact:Satoshi_Tabata_Kazusa_DNA_Research_Institute_The_First_Laboratory_for_Plant_Gene_Research;_Yana_1532-3_Kisarazu_Chiba_292-0812_Japan_U_:http://wwwkazusaorjp/cyano/_",1
"_Contact:Shigetou_Namba_The_University_of_Tokyo_Graduate_School_of_Agricultural_and_Life_Sciences_Department_of_Agricultural_and_Environmental_Biology_Laboratory_of_Plant_Pathology;_1-1-1_Yayoi_Bunkyo-ku_Tokyo_113-8657_Japan_",1
"_Contact:Shino_Suzuki_J_Craig_Venter_Institute_Microbial_&_Env_Genomics;_4120_Torrey_Pines_Rd_La_jolla_California_92037_USA_",1
"_Contact:Shusei_Sato_Kazusa_DNA_Research_Institute_Department_of_Plant_Genome_Research;_2-6-7_Kazusa-kamatari_Kisarazu_Chiba_292-0812_Japan_URL____:http://genomekazusaorjp/rhizobase/_",1
"_Contact:Shusei_Sato_Kazusa_DNA_Research_Institute_Department_of_Plant_Genome_Research;_2-6-7_Kazusa-kamatari_Kisarazu_Chiba_292-0812_Japan_URL____:http://wwwkazusaorjp/rhizobase/_",3
"_Contact:Susumu_Yoshizawa_Atmosphere_and_Ocean_Research_Institute_Univ_Tokyo_Genetic_Research_Section_Center_for_Earth_Surface_System_Dynamics;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8564_Japan_",1
"_Contact:Tadashi_Baba_Juntendo_University_School_of_Medicine_Department_of_Bacteriology;_2-1-1_Hongo_Bunkyo_Tokyo_113-8421_Japan_",1
"_Contact:Tadashi_Matsunaga_Tokyo_University_of_Agriculture_and_Technology_Department_of_Biotechnology;_Naka-cho_2-24-16_Koganei_Tokyo_184-8588_Japan_",1
"_Contact:Takatomo_Fujisawa_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_",1
"_Contact:Takayuki_Iida_Tohoku_University_Life_Sciences;_Aoba-ku_Katahira_2-1-1_Sendai_Miyagi_980-8577_Japan_",1
"_Contact:Tohru_Akiyama_National_Center_for_Global_Health_and_Medicine_Department_of_Infectious_Diseases;_1-21-1Toyama_Shinju-ku_Tokyo_162-8655_Japan_",2
"_Contact:Tomohiro_Morohoshi_Utsunomiya_University_Department_of_Material_and_Environmental_Chemistry;_Yoto_7-1-2_Utsunomiya_Tochigi_321-8585_Japan_",3
"_Contact:Tomoyasu_Nishizawa_The_University_of_Tokyo_Division_of_Applied_Biological_Chemistry_Graduate_School_of_Agricultural_and_Life_Sciences;_1-1-1_Yayoi_Bunkyo-ku_Tokyo_113-8657_Japan_",1
"_Contact:Tsuyoshi_Sekizuka_National_Institute_of_Infectious_Diseases_Pathogen_Genomics_Center;_1-23-1_Toyama_Shinjuku-ku_Tokyo_162-8640_Japan_",1
"_Contact:Yoshihiro_Shimoji_National_Institute_of_Animal_Health;_Kannondai_3-1-5_Tsukuba_Ibaraki_305-0856_Japan_",1
"_Contact:Yoshihiro_Takaki_Japan_Agency_for_Maine-Earth_Science_and_Technology_Extremobiosphere_Research_Center;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0026_Japan_U_:http://wwwjamstecgojp_",2
"_Contact:Yoshihiro_Takaki_Japan_Agency_for_Maine-Earth_Science_and_Technology_Extremobiosphere_Research_Program;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0026_Japan_U_:http://wwwjamstecgojp_",3
"_Contact:Yoshinao_Azuma_Yamaguchi_University_School_of_Medicine_Department_of_Microbiology_and_Immunology;_Minami-Kogushi_1-1-1_Ube_Yamaguchi_755-8505_Japan_U_:http://wwwbionitegojp/dogan/Top_",1
"_Contact:Yuichi_Hongoh_RIKEN_Ecomolecular_Biorecycling_Science_Research_Team;_Hirosawa_2-1_Wako_Saitama_351-0198_Japan_",1
"_Contact:Yuu_Hirose_Toyohashi_University_of_Technology_Environmental_and_Life_Sciences;_Tempaku_Hibarigaoka_1-1_Toyohashi_Aichi_441-8580_Japan_",1
"_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_",3
"_Department_Microorganisms_Leibniz_Institute_DSMZ-German_Collection_of_Microorganisms_and_Cell_Cultures_Inhoffenstr_7_B_Braunschweig_Germany_",1
"_Department_of_Bacterial_Genetics_University_of_Warsaw_Faculty_of_Biology_Institute_of_Microbiology_Miecznikowa_1_Warsaw_02-096_Poland_",1
"_Department_of_Bacteriology_National_Veterinary_Institute_(SVA)_Ullsvag_2_Uppsala_SE75189_Sweden_",1
"_Department_of_Biochemistry_and_Molecular_Biology_Dalhousie_University_Sir_Charles_Tupper_Medical_Building_Halifax_Nova_Scotia_B3H_4H6_Canada_",1
"_Department_of_Biochemistry_Indian_Institute_of_Science_CVRaman_Road_Bangalore_Karnataka_560012_India_",1
"_Department_of_Biochemistry_University_of_Missouri_117_Schweitzer_Hall_Columbia_MO_65211_USA_",1
"_Department_of_Biological_Science_Inha_University_Inharo_100_Incheon_402-751_South_Korea_",1
"_Department_of_Biology_University_of_Copenhagen_Strandpromenaden_5_Helsingor_3000_Denmark_",1
"_Department_of_Biology_University_of_Miami_1301_Memorial_Drive_Coral_Gables_FL_333124_USA_",1
"_Department_of_Biology_University_of_Virginia_271_Gilmer_Hall_485_McCormick_Road_Charlottesville_VA_22903_USA_",1
"_Department_of_Bioscience_/_Center_for_Geomicrobiology_Aarhus_University_Ny_Munkegade_116_Aarhus_8000_Denmark_",1
"_Department_of_Biosystems_Engineering_&_Soil_Science_University_of_Tennessee_2506_EJ_Chapman_Drive_Knoxville_TN_37996_USA_",1
"_Department_of_Computer_Science_National_Tsing_Hua_University_101_Section_2_Kuang-Fu_Rd_Hsinchu_City_Taiwan_300_Taiwan_",1
"_Department_of_Earth_and_Planetary_Science_University_of_California_Berkeley_371_McCone_Hall_Berkeley_CA_94720_USA_",1
"_Department_of_Ecophysiology_Max_Planck_Institute_for_Terrestrial_Microbiology_Karl-von-Frisch_Strasse_10_Marburg_35043_Germany_",1
"_Department_of_Energy_and_Resources_Engineering_College_of_Engineering_Peking_University_No5_Yiheyuan_Road_Haidian_District_Beijing_100871_P_R_China_",2
"_Department_of_Entomology_The_Ohio_State_University_-_OARDC_1680_Madison_Avenue_Wooster_OH_44691_USA_",1
"_Department_of_Food_and_Animal_Biotechnology_Department_of_Agricultural_Biotechnology_Center_for_Food_and_Bioconvergence_Seoul_National_University_1_Gwanak-ro_Gwanak-gu_Seoul_151-742_Republic_of_Korea_",1
"_Department_of_Fundamental_Microbiology_University_of_Lausanne_Biophore_building_Lausanne_VD_1015_Switzerland_",1
"_Department_of_Genetics_and_Molecular_BIology_Faculty_of_Science_University_of_Malaya_Lingkaran_Budi_Kuala_Lumpur_Kuala_Lumpur_50603_Malaysia_",1
"_Department_of_Genetics_University_of_Wisconsin_425_Henry_Mall_Madison_WI_53706_USA_",1
"_Department_of_Genomics_and_Bioinformatics_Institute_of_Molecular_Genetics_AS_CR_vvi_Videnska_1083_Prague_142_20_Czech_Republic_",2
"_Department_of_Integrative_Biology_University_of_Texas_2506_Speedway_A5000_Austin_TX_78712_USA_",1
"_Department_of_Medical_Microbiology_and_Parasitology_Shanghai_Jiao_Tong_University/Chinese_National_HGC_Shanghai_NO_280_Chongqing_South_Road_Shanghai_Shanghai_200025_China_",1
"_Department_of_Microbiology_and_Microbial_Engineering_Fudan_University_No220_HanDan_Road_Shanghai_200433_People's_Republic_of_China_",1
"_Department_of_Microbiology_Department_of_Biochemistry_Genomes_Research_Centre_State_Key_Laboratory_of_Emerging_Infectious_Diseases_Research_Centre_of_Infection_and_Immunology_The_University_of_Hong_Kong_Hong_Kong_China_",1
"_Department_of_Microbiology_The_Third_Military_Medical_University_Gaotanyan_Main_Street_30#_Chongqing_Chongqing_400038_People's_Republic_of_China_",1
"_Department_of_Molecular_Biology_and_Pharmacology_Washington_University_in_St_Louis_660_S_Euclid_St_Louis_MO_63110_USA_",1
"_Department_of_Soil_and_Environmental_Sciences_National_Chung_Hsing_University_250_Kuoguang_Road_Taichung_City_Taiwan_",1
"_Department_of_Systems_Biology_Yonsei_University_50_Yonsei-ro_Seodaemun-gu_Seoul_120-749_Republic_of_Korea_",1
"_Department_of_Veterinay_Pathobiology_University_of_Missouri_-_Columbia_201_Connaway_Hall_Columbia_MO_65211_USA_",1
"_Departments_of_Biotechnology_Chemistry_and_Environmental_Engineering_Aalborg_University_Sohngaardsholmsvej_49_Aalborg_9000_Denmark_",1
"_Diversa_Corporation_Genomics_San_Diego_CA_92121_USA_",1
"_Division_of_Biology_and_Ocean_Sciences_Inha_University_College_of_Natural_Sciences_Inha_University_Incheon_402-751_Republic_of_Korea_",2
"_Division_of_Genetics_and_Molecular_Biology_University_of_Malaya_Institute_of_Biological_Sciences_Faculty_of_Science_University_of_Malaya_Kuala_Lumpur_50603_Malaysia_",1
"_Division_of_Genetics_and_Molecular_Microbiology_University_of_Malaya_Microbiome_1_Level_1_High_Impact_Research_University_of_Malaya_Lembah_Pantai_Kuala_Lumpur_Selangor_50603_Malaysia_",1
"_Division_of_Life_Science_the_Hong_Kong_University_of_Science_and_Technology_Room_6321_Division_of_Life_Science_the_Hong_Kong_University_of_Science_and_Technology_Clear_Water_Bay_Hong_Kong_China_",1
"_Divison_of_Geological_and_Planetary_Sciences_California_Institute_of_Technology_1200_East_California_Blvd_Pasadena_CA_91125_USA_",1
"_DOE_Joint_Genome_Institute_2800_Mitchell_Drive_Walnut_Creek_CA_94598-1698_USA_",0
"_DSV/DEVM/LEMiR_UMR6191_CNRS_CEA_Univ_Mediterranee_CEA_Cadarache_Saint-Paul-Lez-Durance_F-13108_France_",1
"_Ecology_and_Ecological_Engineering_China_Agricultural_University_No_2_Yuanmingyuan_West_Road_Haidian_District_Beijing_Beijing_100193_China_",1
"_Ecology_and_Evolutionary_Biology_University_of_Arizona-Tucson_1007_E_Lowell_St_Tucson_AZ_85721_USA_",1
"_Ecology_and_Evolutionary_Biology_Yale_University_165_Prospect_St_New_Haven_CT_06520_USA_",1
"_Ecophysiology_Max_Planck_Institute_for_Terrestrial_Microbiology_Karl-von-Frisch_Strasse_10_Marburg_Hesse_35043_Germany_",2
"_Entomology_University_of_California_Riverside_900_University_Ave_Riverside_CA_92507_USA_",1
