"","1"
"_Entomology_University_of_Minnesota_1980_Folwell_Ave_St_Paul_MN_55108_USA_",1
"_Evolutionary_Genomics_Group_Departamento_de_Produccion_Vegetal_y_Microbiologia_Universidad_Miguel_Hernandez_Ctra_de_Valencia_s/n_San_Juan_de_Alicante_Alicante_03550_Spain_",1
"_Extremophile_Research_Laboratory_GNS_Science_Private_Bag_2000_Taupo_3353_NEW_ZEALAND_",1
"_Faculty_of_Biosciences_and_Medical_Engineering_Universiti_Teknologi_Malaysia_Block_T02_Skudai_Johor_81310_Malaysia_",1
"_Food_and_Environmental_Sciences_University_of_Helsinki_00014_Helsinki_FINLAND_",1
"_Food_Metabolism_&_Microbiology_Section_AgResearch_Limited_Grasslands_Research_Centre_Tennent_Drive_Private_Bag_11008_Palmerston_North_4442_New_Zealand_",1
"_Food_Science_University_of_Wisconsin-Madison_227_Babcock_Hall_1605_Linden_Drive_Madison_WI_53706_USA_",1
"_Fricke_WF_Institute_for_Microbiology_and_Genetics_Goettingen_Genomics_Laboratory_Grisebachstr_8_Goettingen_37077_GERMANY_",1
"_FSEP_USDA_1920_Dayton_Ave_Bldg_20_Ames_IA_50010_USA_",1
"_Genetics_and_Molecular_Biology_University_of_Malaya_Jalan_Universiti_Kuala_Lumpur_Kuala_Lumpur_50603_Malaysia_",1
"_Genetics_Breeding_and_Animal_Health_Research_Unit_USDA-ARS-US_Meat_Animal_Research_Center_State_Spur_18D_Clay_Center_NE_68933_USA_",1
"_Genetics_Evolution_and_Bioagents_State_University_of_Campinas_Campinas_SP_13083-970_Brazil_",1
"_Genetics_University_of_Helsinki_Viikinkaari_5_Helsinki_Uusimaa_00014_Finland_",1
"_Genome_Institute_of_Singapore_/_National_University_of_Singapore_60_Biopolis_Street_Genome_#02-01/_5A_Engineering_Drive_1_T-lab_Building_#07-03N_Singapore_Singapore_",1
"_Genome_Research_Center_Korea_Research_Institute_of_Bioscience_and_Biotechnology_(KRIBB)_Daejeon_Yuseong_PO_Box_115_Yuseong-gu_Daejeon_305-600_Republic_of_Korea_",1
"_Genome_Sequencing_Center_and_Center_for_Genome_Science_Washington_University_in_St_Louis_4444_Forest_Park_Boulevard_St_Louis_MO_63108_USA_",1
"_Genomic_and_Applied_Microbiology_and_Geottingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstrasse_8_Goettingen_Lower_Saxony_37077_Germany_",1
"_Genomic_and_Applied_Microbiology_and_Goettingen_Genomics_Laboratory_Georg-August-University-Goettingen_Grisebachstr_8_Goettingen_Lower_Saxon_37077_Germany_",1
"_Genomic_and_Applied_Microbiology_and_Goettingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstr_8_Goettingen_Lower_Saxony_37077_Germany_",1
"_Genomic_and_Applied_Microbiology_and_Goettingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstrasse_8_Goettingen_Lower-Saxony_37077_Germany_",1
"_Genomic_and_Applied_Microbiology_Goettingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstr_8_Goettingen_37077_Germany_",1
"_Genomic_and_Applied_Microbiology_Goettingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstr_8_Goettingen_Lower_Saxony_37077_Germany_",1
"_Genomic_and_Applied_Microbiology_Goettingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstrasse_8_Goettingen_Lower_Saxony_37077_Germany_",3
"_Genomics_and_Health_Joint_Unit_of_Research_in_Genomics_and_Health_CSISP-UV_Centro_Superior_de_Investigacion_en_Salud_Publica_Avda_de_Catalunya_21_Valencia_Valencia_46020_Spain_",1
"_Genoscope_-_CEA_(Commissariat_a_l'energie_atomique_et_aux_energies_alternatives)__:_BP_191_91006_EVRY_cedex_-_FRANCE_(E-mail_:_seqref@genoscopecnsfr_-_Web_:_wwwgenoscopecnsfr)_",3
"_Genoscope_-_Centre_National_de_Sequencage_:_BP_191_91006_EVRY_cedex_-_FRANCE_(E-mail_:_seqref@genoscopecnsfr_-_Web_:_wwwgenoscopecnsfr)_",8
"_Goettingen_Genomics_Laboratory_Georg-August-University_Goettingen_Grisebachstr_8_Goettingen_Lower_Saxony_37077_Germany_",1
"_Goettingen_Genomics_Laboratory_Georg-August_University_Goettingen_Grisebachstrasse_8_Goettingen_Lower-Saxony_D-37077_Germany_",1
"_Goettingen_Genomics_Laboratory_Georg_August_University_Grisebachstrasse_8_Goettingen_Lower_Saxony_D-37077_Germany_",1
"_Helmholtz_Institute_for_Pharmaceutical_Research_Saarland_Helmholtz_Center_for_Infectious_Research_University_Campus_Building_C_23_Saarbrucken_Saarland_66123_Germany_",1
"_HGEN:Animal_Breeding_&_Genetics_SLUSwedish_University_of_Agricultural_Sciences_Box_7023_75007_Uppsala_SWEDEN_",1
"_Hjerde_E_Department_of_Molecular_Biotechnology_University_of_Tromso_Breivika_9037_Tromso_NORWAY_",1
"_Human_Genome_Sequencing_Center_Baylor_College_of_Medicine_One_Baylor_Plaza_Houston_TX_77030_USA_",2
"_IGS_CeBiTec_Bielefeld_University_Universitaetsstr_27_D-33335_GERMANY_",1
"_Infectious_Diseases_and_Pathology_University_of_Florida_PO_Box_110991_Gainesville_FL_32611-0880_USA_",1
"_Institut_de_Biologie_structurale_et_Microbiologie_(IBSM)_CNRS-Information_Genomique_et_structurale_CNRS_-_UPR2589_Parc_Scientifique_de_Luminy_-_163_Avenue_de_Luminy_-_Case_934_FR-13288_Marseille_cedex_09_France_",1
"_INSTITUT_PASTEUR_Biology_of_Intracelullar_Bacteria_28_Rue_du_Docteur_Roux_75724_Paris_Cedex_15_France_",2
"_Institute_for_Genome_Sciences_University_of_Maryland_School_of_Medicine_801_W_Baltimore_St_Baltimore_MD_21201_USA_",1
"_Institute_for_Genome_Sciences_University_of_Maryland_School_of_Medicine_801_W_Baltimore_Street_Baltimore_MD_21201_USA_",1
"_Institute_for_Genome_Sciences_University_of_Maryland_School_of_Medicine_801_West_Baltimore_Street_Baltimore_MD_21201_USA_",1
"_Institute_of_Biological_Sciences_University_of_Malaya_Kuala_Lumpur_Kuala_Lumpur_50603_Malaysia_",1
"_Institute_of_Environmental_Biotechnology_Graz_University_of_Technology_Petersgasse_12_Graz_Styria_8010_Austria_",1
"_Institute_of_Microbiology_and_Genetics_Goettingen_Genomics_Laboratory_Georg_August_University_Goettingen_Grisebachstr_8_Goettingen_Lower_Saxony_D-37077_Germany_",1
"_Institute_of_Microbiology_Dept_of_Applied_and_Ecological_Microbiology_Friedrich_Schiller_University_Jena_Philosophenweg_12_Jena_07743_Germany_",1
"_Institute_of_Microbiology_University_Hospital_Center_and_University_of_Lausanne_Bugnon_48_Lausanne_VD_1011_Switzerland_",1
"_Institute_of_Plant_and_Microbial_Biology_Academia_Sinica_128_Sec_2_Academia_Rd_Taipei_115_Taiwan_",1
"_Integrated_Genomics_2201_West_Campbell_Park_Drive_Chicago_IL_60612_USA_",1
"_Integrative_Biology_University_of_Texas_at_Austin_Austin_TX_USA_",2
"_J_Craig_Venter_Institute_9704_Medical_Center_Drive_Rockville_MD_20850_USA_",31
"_J_Craig_Venter_Institute_9712_Medical_Center_Dr_Rockville_MD_20850_USA_",3
"_J_Craig_Venter_Institute_9712_Medical_Center_Drive_Rockville_MD_20850_USA_",1
"_Jiangnan_University_State_Key_Laboratory_of_Food_Science_and_Technology_1800_Lihu_Road_Wuxi_Jiangsu_214122_China_",1
"_Kaur_K_Microbiology_University_of_Minnesota_1500_Gortner_Ave_St_Paul_Minnesota_MN_55108_USA_",1
"_Key_Lab_of_Marine_Bioactive_Substances_The_First_Institute_of_Oceanography_Soa_Xianxialing_Road_6_Qingdao_Qingdao_Shandong_266061_China_",1
"_Key_Laboratory_of_Marine_Biogenetic_Resources_Third_Institute_of_Oceanography_State_Oceanic_Administration_184#_Daxue_Road_Xiamen_Fujian_361005_China_",1
"_Key_Laboratory_of_Molecular_Microbiology_Technology_Ministry_of_Education_College_of_Life_SciencesNankai_University_94_Weijin_Road_Nankai_District_Tianjin_Tianjin_300071_China_",1
"_Klenk_H-P_egene_Biotechnologie_GmbH_Poeckinger_Fussweg_7a_82340_Feldafing_Germany_Email:_hans-peterklenk@egene-biotechde_",1
"_Korean_Collection_for_Oral_Microbiology_and_Department_of_Oral_Biochemistry_School_of_Dentistry_Chosun_University_309_Pilum-daero_Dong-gu_Gwangju_501-759_Republic_of_Korea_",1
"_Lab_of_Molecular_Cloning_Centre_'Bioengineering'_Ras_Prosp_60-Let_Oktiabria_Bld_7-1_Moscow_117312_Russia_",1
"_Labinfo_LNCC_-_Laboratorio_Nacional_de_Computacao_Cientifica_Rua_Getulio_Vargas_333_Petropolis_RJ_25651070_Brazil_",1
"_Laboratoire_de_Richard_Villemur_INRS-Institut_Armand-Frappier_531_Boulevard_des_Prairies_Laval_Quebec_H7V_1B7_Canada_",1
"_Laboratory_of_Microorganism_Engineering_Beijing_Institute_of_Biotechnology_20_Dongdajie_Street_Fengtai_District_Beijing_Beijing_100071_China_",1
"_Laboratory_of_Synthetic_Biology_Institute_of_Plant_Physiology_and_Ecology_Shanghai_Institutes_for_Biological_Sciences_Chinese_Academy_of_Sciences_300_Fenglin_Road_Shanghai_200032_PR_China_",1
"_LIBio_ENSAIA_F-54505_Vandoeuvre_les_nancy_FRANCE_",1
"_Life_Science_and_Research_Center_for_Biomolecules_and_Bioscience_Chun-ang_University_221_Heuksuk-dong_Dongjak-gu_Seoul_156-756_Republic_of_Korea_",1
"_Life_Science_and_Research_Center_for_Biomolecules_and_Bioscience_Chung-ang_University_221_Heuksuk-dong_Dongjak-gu_Seoul_156-756_Republic_of_Korea_",1
"_Linke_B_Center_For_Biotechnology_Bielefeld_University_Universitaetsstrasse_25_33501_Bielefeld_GERMANY_",2
"_Marine_Biotechnology_KIOST_787_Haeanro_Ansan_Gyeonggi-do_426-744_South_Korea_",1
"_Marine_Molecular_Microbiology_&_Biotech_CNR_-_Institute_for_Coastal_Marine_Environment_(IAMC)_Spianata_S_Raineri_86_Messina_98122_Italy_",1
"_Max-Planck_Institute_of_Biochemistry_Dept_Membrane_Biochemistry_Am_Klopferspitz_18_D-82152_Martinsried_GERMANY_",1
"_Max_Planck_Institute_for_Marine_Microbiology_Celsiusstr_1_Bremen_28359_Germany_",1
"_Max_Planck_Institute_for_Molecular_Genetics_proScience_Ihnestrasse_63_D-14195_Berlin_Germany_",1
"_Max_Planck_Institute_for_Molecular_Genetics_proScience_Ihnestrasse_73_D-14195_Berlin_Germany_",2
"_Microbial_Ecology_Laboratory_Devision_of_Applied_Life_Science_Gyeongsang_National_University_Gazwa_660-701_Jinju_Gyeongnamdo_660-701_Korea_Republic_",1
"_Microbial_Genomics_Group_Max_Planck_Institute_for_Marine_Microbiology_Celsiusstrasse_1_Bremen_28359_GERMANY_",1
"_Microbial_Genomics_Group_Max_Planck_Institute_for_Marine_Microbiology_Celsiusstrasse_1_Bremen_D-28359_GERMANY_",1
"_Microbial_Research_BGI_Beishan_Industrial_Zone_Shenzhen_Guangdong_518083_China_",1
"_Microbiology_and_Cell_Science_University_of_Florida_981_Museum_Road_Gainesville_FL_32611-0700_USA_",1
"_Microbiology_and_Cell_Science_University_of_Florida_Citrus_Research_and_Education_Center_700_Experiment_Station_Road_Lake_Alfred_FL_33850_USA_",1
"_Microbiology_and_Immunology_Virginia_Commonwealth_University_1101_E_Marshall_St_Richmond_VA_23236_USA_",1
"_Microbiology_and_Plant_Pathology_Forestry_and_Agricultural_Biotechnology_Institute_74_Lunnon_Road_University_of_Pretoria_Pretoria_0002_South_Africa_",1
"_Microbiology_DSMZ_German_Collection_of_Microorganisms_and_Cell_Cultures_Inhoffenstr_7b_Braunschweig_Lower_Saxony_38124_Germany_",1
"_Microbiology_North_Carolina_State_University_Thomas_Hall_4554_Raleigh_NC_27612_USA_",1
"_Microbiology_University_of_Hawaii_2538_McCarthy_Mall_Snyder_Hall_Honolulu_HI_96822_USA_",1
"_Microbiology_University_of_Hawaii_at_Manoa_2538_McCarthy_Mall_Snyder_111_Honolulu_HI_96822_USA_",1
"_Microbiology_University_of_Hawaii_at_Manoa_2538_McCarthy_Mall_Snyder_207_Honolulu_HI_96822_USA_",1
"_Microbiology_University_of_Hawaii_at_Manoa_2538_McCarthy_Mall_Snyder_215_Honolulu_HI_96822_USA_",1
"_Microbiology_University_of_Manitoba_408_Buller_Bdg_Winnipeg_Manitoba_R3T_2N2_Canada_",1
"_Molecular_and_Cell_Biology_University_of_Connecticut_91_N_Eagleville_Rd_Storrs_Ct_06269_USA_",1
"_Molecular_and_Cellular_Biology_Program_Department_of_Biological_Sciences_Ohio_University_320_Irvine_Hall_Athens_OH_45701_USA_",1
"_Molecular_Biology_Division_Iranian_Biological_Resource_Center_N0_80_West_Howeyzeh_St_North_Sohrevardi_Ave_Tehran_1551916111_Iran_",1
"_MPIMG_proScience_Ihnestrasse_73_D-14195_Berlin_Germany_",1
"_Multidrug-Resistant_Organism_Surveillance_Network_and_Repository_Walter_Reed_Army_Institute_of_Research_503_Robert_Grant_Avenue_Silver_Spring_MD_20910_USA_",1
"_National_Joint_Engineering_Laboratory_of_Biopesticide_Preparation_Zhejiang_Agricultural_and_Forestry_University_Huanchenglu_88_Lin'An_Zhejiang_311300_China_",1
"_National_Key_Laboratory_of_Veterinary_Biotechnology_Harbin_Veterinary_Research_Institute_Chinese_Academy_of_Agricultural_Sciences_427_Maduan_Street_Harbin_Heilongjiang_150001_People's_Republic_of_China_",1
"_National_Laboratory_of_Macromolecules_Institute_of_Biophysics_Institute_of_Biophysics_Chinese_Academy_of_Sciences_Beijing_15_Datun_Road_Chaoyang_District_Beijing_Beijing_100101_China_",1
"_Neurogenomics_Research_Lab_University_of_Iowa_200_B_EMRB_Iowa_City_IA_52242_USA_",1
"_Nicholas_School_of_the_Environment_Duke_University_450_Research_Drive_Durham_NC_27708_USA_",1
"_NIH_Intramural_Sequencing_Center_5625_Fishers_Lane_Rockville_MD_20852_USA_",1
"_NIZO_Food_Research_Kluyver_Centre_for_Genomics_of_Industrial_Fermentation_PO_Box_20_Ede_6710_BA_The_Netherlands_",1
"_Novartis_Vaccines_and_Diagnostics_Via_Fiorentina_1_Siena_Italy_",1
"_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_",1
"_Pathogen_Genomics_Translational_Genomics_Research_Institute_445_N_Fifth_Street_Phoenix_AZ_85004_USA_",1
"_Pathogen_Sequencing_Unit_Wellcome_Trust_Sanger_Institute_Wellcome_Trust_Genome_Campus_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_",1
"_Pharmaceutical_Genomics_Division_Translational_Genomics_Research_Institute_13208_E_Shea_Blvd_Scottsdale_AZ_85004_USA_",2
"_Plant_Pathology_University_of_California_One_Shields_Avenue_Davis_CA_95616_USA_",1
"_Population_Medicine_Cornell_University_275_Southworth_Rd_Dryden_NY_13053_USA_",1
"_Research_Division_for_Biotechnology_Korea_Atomic_Energy_Research_Institute_29_Geumgu_Jeongeup_Jeonlabukdo_580-185_Republic_of_Korea_",1
"_Research_Technologies_Branch_Rocky_Mountain_Labs_NIAID_NIH_903_South_4th_Street_Hamilton_MT_59840_USA_",1
"_Resource_Enhancement_and_Utilization_Technologies_Division_Northwest_Fisheries_Science_Center_NOAA_Fisheries_Service_2725_Montlake_Blvd_E_Seattle_WA_98112-2097_USA_",1
"_Sackler_Institute_for_Comparative_Genomics_American_Museum_of_Natural_History_79th_Street_at_Central_Park_West_New_York_NY_10009_USA_",1
"_Sanger_Institute_Wellcome_Trust_Genome_Campus_Hinxton_Cambridge_CB10_1SA_United_Kingdom_",11
"_School_of_Life_Sciences_University_of_Nevada_4505_Maryland_Parkway_Las_Vegas_NV_89154-4004_USA_",1
"_School_of_Veterinary_Medicine_University_of_California_at_Davis_VM3B_Room_4023_1089_Veterinary_Medicine_Dr_Davis_CA_95616_USA_",1
"_Schuster_SC_Department_of_Biochemistry_and_Molecular_Biology_Center_for_Comparative_Genomics_and_Bioinformatics_Center_for_Infectious_Disease_Dynamics_310_Wartik_Building_Penn_State_University_University_Park_PA_16802_USA_Phone_+1_814_863-9278_FAX_+1_814_863-6699_",1
"_Sebaihia_M_Sulston_Laboratories_Wellcome_Trust_Sanger_Institute_Wellcome_Trust_Genome_Campus_Hinxton_Cambridge_CB10_1SA_UNITED_KINGDOM_",2
"_SERF_University_of_Tennessee_1414_Cirlce_Drive_Knoxville_TN_37919_USA_",1
"_Servicio_de_DermatologiaHospital_Universitario_'Dr_Jose_E_Gonzalez'_and_Centro_de_Investigacion_y_Desarrollo_en_Ciencias_de_la_Salud_Universidad_Autonoma_de_Nuevo_Leon_Madero_y_Gonzalitos_Col_Mitras_Centro_Monterrey_Nuevo_Leon_64460_Mexico_",1
"_Shenzhen_Graduate_School_Peking_University_School_of_Environment_and_Energy_No2199_Lishui_Road_Xili_Town_Nanshan_District_Shenzhen_Guangdong_518055_China_",1
"_Shizuoka_University_3-5-1_Johoku_Naka-ku_Hamamatsu_Shizuoka_432-8011_Japan_",1
"_Sichuan_Agricultural_University_Avian_Disease_Research_Center_Xinkang_Road_46_Ya'an_Sichuan_625014_China_",1
"_State_Key_Laboratory_for_Microbial_Technology_Shandong_University_27_Shanda_Nanlu_Jinan_Shandong_250100_China_",1
"_State_Key_Laboratory_for_Moleclular_Virology_and_Genetic_Engineering_Microbial_Genome_Center_of_Chinese_Ministry_of_Public_Health_6_Rongjing_Eastern_Street_BDA_Beijing_100176_P_R_China_",1
"_State_Key_Laboratory_of_Agricultural_Microbiology_Huazhong_Agricultural_University_NO1_Shizishan_Street_Wuhan_430070_PRChina_",1
"_State_Key_Laboratory_of_Bioreactor_Engineering_East_China_University_of_Science_and_Technology_130_Meilong_Road_Shanghai_200237_P_R_China_",1
"_State_Key_Laboratory_of_Microbial_Technology_College_of_Life_Science_Shandong_University_#27_Shandanan_Road_Jinan_Shandong_250100_People's_Republic_of_China_",1
"_State_of_Oceanic_Administration_(SOA)_The_Third_Institute_of_State_Oceanic_Administration_(SOA)_Daxue_Road_184#_Xiamen_Fujian_361005_PRChina_",1
"_Submitted_by_Matthias_Horn_Department_of_Microbial_Ecology_University_of_Vienna_Althanstr_14_A-1090_Wien_Austria_Email:_horn@microbial-ecologynet_Complete_annotation_available_at:_http://mipsgsfde/services/genomes/uwe25_",1
"_Submitted_on_behalf_of_the_heartwater_sequencing_team_Department_of_Veterinary_Tropical_Diseases_Faculty_of_Veterinary_Science_University_of_Pretoria_Private_Bag_X04_Onderstepoort_0110_South_Africa_and_the_Onderstepoort_Veterinary_Institute_Private_Bag_X5_Onderstepoort_0110_South_Africa_E-mail:_BasilAllsopp@upacza_",1
"_Swinburne_University_of_Technology_PO_Box_218_Hawthorn_Victoria_3122_Australia_",1
"_TEDA_School_of_Biological_Sciences_and_Biotechnology_Nankai_University_23_HongDa_St_TEDA_Tianjin_300457_China_",1
"_The_Institute_for_Genomic_Research_9712_Medical_Center_Dr_Rockville_MD_20850_USA_",0
"_The_J_Craig_Venter_Institute_9704_Medical_Center_Dr_Rockville_MD_20850_USA_",0
"_The_J_Craig_Venter_Institute_9704_Medical_Center_Drive_Rockville_MD_20850_USA_",1
"_The_J_Craig_Venter_Institute_Rockville_MD_USA_",0
"_The_Third_Institute_of_Oceanography_State_of_Oceanic_Administration_Daxue_Road_184#_Xiamen_Fujian_361005_China_",1
"_UC_Davis_Genome_Center_University_of_California_Davis_One_Shields_Ave_Davis_CA_95616_USA_",1
"_UMR7265_Biologie_Vegetale_et_Microbiologie_Environnementales_Bat_156_CEA_Cadarache_Saint_Paul_les_Durance_13108_France_",1
"_Unite_des_Rickettsies_Faculte_de_Medecine_CNRS_UMR_6020_IFR_48_Universite_de_la_Mediterranee_27_boulevard_Jean_Moulin_Marseille_Cedex_05_13385_France_",1
"_University_of_Hawaii_at_Manoa_The_Hawaii_Institute_of_Marine_Biology_PO_Box_1346_Kane'ohe_Hawaii_96744_USA_",1
"_University_of_Malaya_Kuala_Lumpur_Kuala_Lumpur_50603_Malaysia_",1
"_University_of_Vienna_Department_of_Computational_Systems_Biology_Althanstr_14_1090_Vienna_AUSTRIA_",2
"_University_of_Vienna_Department_of_Microbial_Ecology_Althanstr_14_A-1090_Wien_AUSTRIA_",1
"_US_DOE_Joint_Genome_Institute_2400_Mitchell_Drive_B100_Walnut_Creek_CA_94598-1698_USA_",1
"_US_DOE_Joint_Genome_Institute_2800_Mitchell_Drive_B100_Walnut_Creek_CA_94598-1698_USA_",0
"_US_DOE_Joint_Genome_Institute_2800_Mitchell_Drive_B310_Walnut_Creek_CA_94598-1698_USA_",0
"_US_DOE_Joint_Genome_Institute_2800_Mitchell_Drive_Walnut_Creek_CA_94598-1698_USA_",268
"_Veterinary_and_Biomedical_Sciences_University_of_Minnesota_1971_Commonwealth_Ave_Saint_Paul_MN_55108_USA_",1
"_Veterinary_Science_University_of_Bristol_Langford_North_Somerset_BS40_5DU_UK_",1
"_Virginia_Bioinformatics_Institute_Virginia_Tech_Washington_Street_Box_0477_Blacksburg_VA_24061_USA_",1
"_Virginia_Commonwealth_University_Philips_Institute_Richmond_VA_23298_USA_",1
